Disease,Symptom,Medicine
Chickenpox,Shortness of breath,Budesonide
Common Cold,Night Sweats,Prednisone
Ulcerative Colitis,Fatigue,Adalimumab
Tuberculosis,Skin Rash,Ranitidine
Urinary Tract Infection,Red Eyes,Glibenclamide
Tuberculosis,Swollen Lymph Nodes,Sumatriptan
Dengue,Chest Pain,Paracetamol
Fungal Infection,Tremors,Azithromycin
Common Cold,Blurred Vision,Levothyroxine
Osteoporosis,Shortness of breath,Terbinafine
Peptic Ulcer,Nausea,Glibenclamide
Lung Cancer,Sore Throat,Doxycycline
Hepatitis,Ear Pain,Topiramate
Peptic Ulcer,Blurred Vision,Amoxicillin
Dengue,Loss of Appetite,Azithromycin
Chronic Kidney Disease,Swelling,Glibenclamide
Osteoporosis,Red Eyes,Adalimumab
Tuberculosis,Itching,Cetirizine
Psoriasis,Loss of Appetite,Metformin
Allergy,Red Eyes,Ciprofloxacin
Epilepsy,Ear Pain,Hydrocortisone
Sinusitis,Back Pain,Omeprazole
Sinusitis,Sore Throat,Terbinafine
Peptic Ulcer,Skin Rash,Doxycycline
Jaundice,Swelling,Levothyroxine
Bronchitis,Blurred Vision,Omeprazole
Migraine,Rapid Heartbeat,Ibuprofen
Sinusitis,High Blood Pressure,Loratadine
Ulcerative Colitis,High Blood Pressure,Losartan
Psoriasis,Shortness of breath,Terbinafine
Peptic Ulcer,Fatigue,Amoxicillin
Influenza,Blurred Vision,Calamine Lotion
Influenza,High Blood Pressure,Prednisone
Acne,Joint Pain,Budesonide
Chronic Kidney Disease,Tremors,Budesonide
Fungal Infection,Blurred Vision,Omeprazole
Migraine,Back Pain,Sildenafil
Pneumonia,Red Eyes,Chloroquine
Diabetes,Red Eyes,Azithromycin
Heart Disease,Muscle Weakness,Chloroquine
Hypertension,Numbness,Budesonide
Malaria,Night Sweats,Budesonide
Chronic Kidney Disease,Nausea,Propranolol
Arthritis,Loss of Appetite,Losartan
Fungal Infection,Joint Pain,Glibenclamide
Acne,Red Eyes,Isoniazid
Tuberculosis,Weight Loss,Ranitidine
Ulcerative Colitis,Dizziness,Adalimumab
Eczema,Loss of Appetite,Terbinafine
Chickenpox,Fever,Prednisone
Malaria,Chest Pain,Loperamide
Gastroenteritis,Tremors,Losartan
Influenza,Skin Rash,Ondansetron
Urinary Tract Infection,Headache,Cetirizine
Eczema,Ear Pain,Isoniazid
Bronchitis,Weight Loss,Omeprazole
Common Cold,Fatigue,Ondansetron
Osteoporosis,Headache,Omeprazole
Epilepsy,Nausea,Loperamide
Bronchitis,Weight Loss,Sumatriptan
Fungal Infection,Shortness of breath,Chloroquine
Common Cold,High Blood Pressure,Levothyroxine
Psoriasis,Chest Pain,Budesonide
Pneumonia,Back Pain,Aspirin
Hypertension,Joint Pain,Amoxicillin
Fungal Infection,Chest Pain,Metformin
Vertigo,Red Eyes,Doxycycline
Dengue,Numbness,Glibenclamide
Chronic Kidney Disease,Cough,Omeprazole
Vertigo,Red Eyes,Prednisone
Acne,Red Eyes,Budesonide
Zika Virus,Nausea,Loperamide
Arthritis,Runny Nose,Budesonide
Osteoporosis,Runny Nose,Loratadine
Urinary Tract Infection,Swelling,Sildenafil
Pneumonia,Fever,Calamine Lotion
Urinary Tract Infection,Red Eyes,Losartan
Psoriasis,Dizziness,Isoniazid
Common Cold,Vomiting,Calamine Lotion
Influenza,Cough,Ibuprofen
Urinary Tract Infection,Blurred Vision,Amoxicillin
Fungal Infection,Fever,Aspirin
Whooping Cough,Skin Rash,Aspirin
Chronic Kidney Disease,Loss of Appetite,Budesonide
Peptic Ulcer,Fatigue,Omeprazole
Eczema,Vomiting,Sumatriptan
Osteoporosis,Blurred Vision,Loratadine
COVID-19,Skin Rash,Loperamide
Glaucoma,Abdominal Pain,Sildenafil
Multiple Sclerosis,Cough,Calamine Lotion
Tuberculosis,Numbness,Loratadine
Asthma,Back Pain,Omeprazole
Zika Virus,Rapid Heartbeat,Losartan
Bronchitis,Rapid Heartbeat,Amoxicillin
Osteoporosis,Abdominal Pain,Metformin
Arthritis,Blurred Vision,Aspirin
Typhoid,Chest Pain,Ibuprofen
Jaundice,Numbness,Cetirizine
Typhoid,Tremors,Ranitidine
Arthritis,Dizziness,Losartan
Multiple Sclerosis,Abdominal Pain,Aspirin
Pneumonia,Joint Pain,Ranitidine
Jaundice,Swelling,Doxycycline
Osteoporosis,Ear Pain,Amoxicillin
COVID-19,Ear Pain,Terbinafine
Arthritis,High Blood Pressure,Rifampin
Peptic Ulcer,Numbness,Levothyroxine
COVID-19,Swollen Lymph Nodes,Rifampin
Psoriasis,Chest Pain,Loperamide
Multiple Sclerosis,Diarrhea,Azithromycin
Migraine,Red Eyes,Chloroquine
Influenza,Blurred Vision,Metformin
Lung Cancer,Muscle Weakness,Levothyroxine
Ulcerative Colitis,Chest Pain,Amoxicillin
Chickenpox,Vomiting,Adalimumab
Vertigo,Abdominal Pain,Ibuprofen
Bronchitis,High Blood Pressure,Ondansetron
Chickenpox,Shortness of breath,Losartan
Common Cold,Swollen Lymph Nodes,Rifampin
Jaundice,Ear Pain,Loperamide
Bronchitis,Skin Rash,Aspirin
Hypertension,Nausea,Azithromycin
Bronchitis,Ear Pain,Topiramate
Jaundice,Fever,Levothyroxine
Ulcerative Colitis,Rapid Heartbeat,Loperamide
Pneumonia,Headache,Ibuprofen
Sinusitis,Nausea,Sumatriptan
Eczema,Weight Loss,Loperamide
Zika Virus,Loss of Appetite,Ranitidine
Tuberculosis,Swelling,Glibenclamide
Hepatitis,Swollen Lymph Nodes,Cetirizine
Common Cold,Fatigue,Prednisone
Heart Disease,Fatigue,Paracetamol
COVID-19,Vomiting,Hydrocortisone
Malaria,Ear Pain,Glibenclamide
Ulcerative Colitis,Night Sweats,Levothyroxine
Malaria,Abdominal Pain,Rifampin
Gastroenteritis,Cough,Terbinafine
Ulcerative Colitis,Tremors,Levothyroxine
Diabetes,Chest Pain,Losartan
Vertigo,Fatigue,Propranolol
Jaundice,Swelling,Hydrocortisone
Jaundice,Tremors,Azithromycin
Fungal Infection,Tremors,Omeprazole
Multiple Sclerosis,Red Eyes,Metformin
Lung Cancer,Fever,Cetirizine
Bronchitis,Back Pain,Losartan
Bronchitis,Abdominal Pain,Chloroquine
Diabetes,Weight Loss,Ciprofloxacin
Sinusitis,Runny Nose,Loperamide
Diabetes,Skin Rash,Hydrocortisone
Jaundice,Chest Pain,Loratadine
Sinusitis,Abdominal Pain,Amoxicillin
Pneumonia,Cough,Loperamide
Tuberculosis,Nausea,Topiramate
Bronchitis,Shortness of breath,Rifampin
Glaucoma,Blurred Vision,Loratadine
Diabetes,Numbness,Ondansetron
Whooping Cough,Blurred Vision,Isoniazid
Vertigo,Itching,Ciprofloxacin
Chickenpox,Nausea,Ondansetron
Acne,Night Sweats,Paracetamol
Influenza,Weight Loss,Paracetamol
Bronchitis,Swelling,Aspirin
Hypertension,Skin Rash,Losartan
Pneumonia,Fever,Glibenclamide
Migraine,Ear Pain,Hydrocortisone
Jaundice,Rapid Heartbeat,Loratadine
Allergy,Back Pain,Ranitidine
Dengue,Joint Pain,Sildenafil
Pneumonia,Weight Loss,Budesonide
Eczema,Tremors,Ibuprofen
Hypertension,Shortness of breath,Sildenafil
Whooping Cough,Chest Pain,Cetirizine
Hepatitis,Shortness of breath,Budesonide
Osteoporosis,Fatigue,Glibenclamide
Whooping Cough,Ear Pain,Budesonide
Chronic Kidney Disease,Joint Pain,Prednisone
Hepatitis,Weight Loss,Levothyroxine
COVID-19,Night Sweats,Sumatriptan
Osteoporosis,Fever,Sildenafil
Hypertension,Swollen Lymph Nodes,Terbinafine
Glaucoma,Swelling,Topiramate
Tuberculosis,Red Eyes,Cetirizine
Glaucoma,Blurred Vision,Calamine Lotion
Jaundice,Rapid Heartbeat,Rifampin
Lung Cancer,Weight Loss,Sildenafil
Whooping Cough,Ear Pain,Omeprazole
COVID-19,Sore Throat,Prednisone
Hepatitis,Diarrhea,Amoxicillin
Jaundice,Red Eyes,Propranolol
Eczema,Muscle Weakness,Metformin
Epilepsy,Joint Pain,Sildenafil
Chickenpox,Chest Pain,Omeprazole
Whooping Cough,Shortness of breath,Sumatriptan
Chronic Kidney Disease,Tremors,Aspirin
Heart Disease,Numbness,Ondansetron
Acne,Nausea,Propranolol
Epilepsy,Abdominal Pain,Rifampin
Asthma,High Blood Pressure,Calamine Lotion
Glaucoma,Rapid Heartbeat,Ibuprofen
Common Cold,Headache,Loperamide
Glaucoma,Itching,Isoniazid
Arthritis,Cough,Loratadine
Diabetes,Runny Nose,Topiramate
Acne,Itching,Ondansetron
Gastroenteritis,Cough,Topiramate
Acne,Fatigue,Amoxicillin
Psoriasis,Nausea,Ranitidine
Osteoporosis,Fever,Losartan
Bronchitis,Joint Pain,Adalimumab
Malaria,Loss of Appetite,Calamine Lotion
Chronic Kidney Disease,Dizziness,Budesonide
Vertigo,Diarrhea,Terbinafine
Eczema,Itching,Cetirizine
Psoriasis,Shortness of breath,Cetirizine
Heart Disease,Rapid Heartbeat,Azithromycin
Psoriasis,Abdominal Pain,Propranolol
Tuberculosis,Rapid Heartbeat,Calamine Lotion
Influenza,Swollen Lymph Nodes,Prednisone
Migraine,Chest Pain,Glibenclamide
Epilepsy,Muscle Weakness,Loperamide
Multiple Sclerosis,Sore Throat,Sumatriptan
Heart Disease,Skin Rash,Levothyroxine
Pneumonia,Chest Pain,Levothyroxine
Urinary Tract Infection,Blurred Vision,Ciprofloxacin
Common Cold,Fatigue,Azithromycin
Typhoid,Fever,Doxycycline
Osteoporosis,Loss of Appetite,Losartan
Typhoid,Vomiting,Omeprazole
Lung Cancer,Muscle Weakness,Hydrocortisone
Eczema,Blurred Vision,Loperamide
Whooping Cough,Dizziness,Sildenafil
Diabetes,Itching,Prednisone
COVID-19,Fatigue,Sumatriptan
Hypertension,Itching,Aspirin
Bronchitis,Swelling,Ciprofloxacin
Bronchitis,Vomiting,Topiramate
Multiple Sclerosis,Dizziness,Isoniazid
Dengue,Skin Rash,Prednisone
Urinary Tract Infection,Back Pain,Omeprazole
Chickenpox,Muscle Weakness,Omeprazole
Influenza,Muscle Weakness,Isoniazid
Arthritis,Skin Rash,Ondansetron
Acne,Back Pain,Glibenclamide
Acne,Swelling,Isoniazid
Influenza,Skin Rash,Propranolol
Common Cold,Night Sweats,Losartan
Dengue,Sore Throat,Amoxicillin
Dengue,Night Sweats,Levothyroxine
Multiple Sclerosis,Dizziness,Loperamide
Ulcerative Colitis,Fever,Losartan
Malaria,Joint Pain,Sumatriptan
Pneumonia,Abdominal Pain,Glibenclamide
Lung Cancer,Swollen Lymph Nodes,Loperamide
Glaucoma,Swelling,Omeprazole
Asthma,Numbness,Ondansetron
Chronic Kidney Disease,Loss of Appetite,Ondansetron
Zika Virus,Itching,Omeprazole
Dengue,Nausea,Paracetamol
Heart Disease,Fever,Isoniazid
Epilepsy,Fatigue,Azithromycin
Lung Cancer,Weight Loss,Sumatriptan
Tuberculosis,Numbness,Ibuprofen
Influenza,Weight Loss,Omeprazole
Glaucoma,Swollen Lymph Nodes,Ondansetron
Tuberculosis,Red Eyes,Isoniazid
COVID-19,Swelling,Ciprofloxacin
Urinary Tract Infection,Weight Loss,Propranolol
Hepatitis,Diarrhea,Prednisone
Eczema,Headache,Propranolol
Glaucoma,Fever,Prednisone
Influenza,Night Sweats,Ibuprofen
Zika Virus,Night Sweats,Isoniazid
Chronic Kidney Disease,Abdominal Pain,Glibenclamide
Common Cold,Night Sweats,Isoniazid
Sinusitis,Skin Rash,Hydrocortisone
Influenza,Itching,Sildenafil
Gastroenteritis,Shortness of breath,Isoniazid
Heart Disease,Sore Throat,Metformin
Typhoid,Nausea,Cetirizine
Tuberculosis,Back Pain,Levothyroxine
Diabetes,Chest Pain,Loperamide
Ulcerative Colitis,Headache,Amoxicillin
Osteoporosis,High Blood Pressure,Aspirin
Common Cold,Weight Loss,Chloroquine
Urinary Tract Infection,Swelling,Levothyroxine
Typhoid,Headache,Propranolol
Migraine,Ear Pain,Aspirin
Heart Disease,Rapid Heartbeat,Levothyroxine
Sinusitis,Cough,Levothyroxine
Typhoid,Numbness,Loratadine
Chickenpox,Headache,Glibenclamide
Hypertension,Blurred Vision,Glibenclamide
Vertigo,Headache,Adalimumab
Heart Disease,Weight Loss,Aspirin
Peptic Ulcer,Numbness,Topiramate
COVID-19,High Blood Pressure,Omeprazole
COVID-19,Skin Rash,Chloroquine
Gastroenteritis,Tremors,Sumatriptan
Eczema,Red Eyes,Rifampin
Gastroenteritis,Chest Pain,Azithromycin
Lung Cancer,Cough,Omeprazole
Peptic Ulcer,Back Pain,Propranolol
COVID-19,Headache,Amoxicillin
Sinusitis,Night Sweats,Isoniazid
Hepatitis,Chest Pain,Loratadine
Jaundice,Chest Pain,Topiramate
Malaria,Vomiting,Loperamide
Zika Virus,Swelling,Terbinafine
Common Cold,Fever,Omeprazole
Allergy,Dizziness,Adalimumab
COVID-19,Night Sweats,Ondansetron
Jaundice,Chest Pain,Adalimumab
Diabetes,Swelling,Adalimumab
Ulcerative Colitis,Muscle Weakness,Terbinafine
Whooping Cough,Red Eyes,Loperamide
Hypertension,Rapid Heartbeat,Loratadine
Ulcerative Colitis,Weight Loss,Terbinafine
Bronchitis,Rapid Heartbeat,Sumatriptan
Multiple Sclerosis,Loss of Appetite,Sildenafil
COVID-19,Weight Loss,Aspirin
Eczema,Swollen Lymph Nodes,Omeprazole
Lung Cancer,Cough,Levothyroxine
Chickenpox,Swelling,Azithromycin
Allergy,Sore Throat,Ranitidine
Eczema,High Blood Pressure,Amoxicillin
Allergy,Joint Pain,Loratadine
Peptic Ulcer,Blurred Vision,Ibuprofen
Influenza,Sore Throat,Losartan
Pneumonia,Muscle Weakness,Terbinafine
Typhoid,Nausea,Isoniazid
Peptic Ulcer,Tremors,Adalimumab
Psoriasis,Dizziness,Prednisone
Arthritis,Numbness,Terbinafine
Fungal Infection,Sore Throat,Azithromycin
Osteoporosis,Dizziness,Terbinafine
Malaria,Night Sweats,Topiramate
Ulcerative Colitis,Sore Throat,Aspirin
Heart Disease,Skin Rash,Aspirin
Tuberculosis,Rapid Heartbeat,Loperamide
Allergy,Chest Pain,Glibenclamide
Hepatitis,Runny Nose,Levothyroxine
Allergy,Red Eyes,Ibuprofen
Eczema,Tremors,Ondansetron
Influenza,Cough,Sumatriptan
Glaucoma,Joint Pain,Sildenafil
Psoriasis,Loss of Appetite,Sildenafil
Hepatitis,Red Eyes,Isoniazid
Pneumonia,Joint Pain,Metformin
Urinary Tract Infection,Diarrhea,Adalimumab
Pneumonia,Weight Loss,Loratadine
Diabetes,Dizziness,Budesonide
Peptic Ulcer,Headache,Sumatriptan
Acne,Joint Pain,Levothyroxine
Glaucoma,Abdominal Pain,Terbinafine
Hepatitis,Fever,Levothyroxine
Osteoporosis,Back Pain,Propranolol
Pneumonia,Numbness,Propranolol
Typhoid,Shortness of breath,Hydrocortisone
Eczema,Numbness,Ranitidine
Ulcerative Colitis,Rapid Heartbeat,Terbinafine
Zika Virus,Numbness,Ranitidine
Pneumonia,Fatigue,Doxycycline
Jaundice,Swelling,Adalimumab
Chickenpox,Runny Nose,Rifampin
Hepatitis,Blurred Vision,Ranitidine
Asthma,Diarrhea,Omeprazole
Chickenpox,Rapid Heartbeat,Glibenclamide
Osteoporosis,Itching,Loperamide
Peptic Ulcer,Tremors,Sildenafil
Arthritis,Red Eyes,Chloroquine
Fungal Infection,Abdominal Pain,Terbinafine
Hepatitis,Abdominal Pain,Sumatriptan
Ulcerative Colitis,Nausea,Omeprazole
Tuberculosis,Abdominal Pain,Ciprofloxacin
Hypertension,High Blood Pressure,Paracetamol
Vertigo,Rapid Heartbeat,Adalimumab
Glaucoma,Rapid Heartbeat,Sildenafil
Tuberculosis,Swelling,Ondansetron
Zika Virus,Ear Pain,Prednisone
Eczema,Red Eyes,Doxycycline
Chronic Kidney Disease,Abdominal Pain,Levothyroxine
Multiple Sclerosis,Blurred Vision,Isoniazid
Arthritis,Dizziness,Hydrocortisone
Acne,Headache,Paracetamol
Pneumonia,Runny Nose,Amoxicillin
Dengue,Fever,Ibuprofen
Glaucoma,Numbness,Sumatriptan
Arthritis,Loss of Appetite,Amoxicillin
Diabetes,Nausea,Azithromycin
Urinary Tract Infection,Red Eyes,Sumatriptan
Tuberculosis,Itching,Loperamide
Allergy,Vomiting,Amoxicillin
Osteoporosis,Night Sweats,Glibenclamide
Hypertension,Sore Throat,Cetirizine
Vertigo,Blurred Vision,Losartan
Diabetes,Numbness,Paracetamol
Common Cold,Weight Loss,Loperamide
Jaundice,Runny Nose,Paracetamol
Ulcerative Colitis,Skin Rash,Paracetamol
Hypertension,Red Eyes,Ciprofloxacin
Tuberculosis,Numbness,Prednisone
Psoriasis,Fever,Ibuprofen
Bronchitis,Runny Nose,Terbinafine
Zika Virus,Skin Rash,Isoniazid
Glaucoma,Sore Throat,Propranolol
Malaria,Back Pain,Doxycycline
Arthritis,Runny Nose,Ranitidine
Sinusitis,Weight Loss,Rifampin
Multiple Sclerosis,Headache,Propranolol
Whooping Cough,Tremors,Isoniazid
Allergy,Fatigue,Cetirizine
Multiple Sclerosis,Abdominal Pain,Paracetamol
Chickenpox,Back Pain,Amoxicillin
Psoriasis,Tremors,Budesonide
Bronchitis,Tremors,Ciprofloxacin
Fungal Infection,Runny Nose,Cetirizine
Fungal Infection,Nausea,Doxycycline
Osteoporosis,Tremors,Ciprofloxacin
Pneumonia,Shortness of breath,Ranitidine
Asthma,Back Pain,Ranitidine
Malaria,Shortness of breath,Doxycycline
Fungal Infection,Swollen Lymph Nodes,Losartan
Common Cold,Tremors,Aspirin
Hypertension,Night Sweats,Losartan
Tuberculosis,Abdominal Pain,Omeprazole
Heart Disease,Skin Rash,Propranolol
Diabetes,Night Sweats,Terbinafine
Common Cold,Dizziness,Sumatriptan
Asthma,Nausea,Levothyroxine
Gastroenteritis,Numbness,Sildenafil
Multiple Sclerosis,Blurred Vision,Adalimumab
Migraine,Chest Pain,Calamine Lotion
Chickenpox,Vomiting,Sildenafil
Heart Disease,Diarrhea,Levothyroxine
Sinusitis,Cough,Paracetamol
Ulcerative Colitis,Back Pain,Sildenafil
Eczema,Night Sweats,Budesonide
Arthritis,Sore Throat,Doxycycline
Gastroenteritis,Shortness of breath,Amoxicillin
Arthritis,Diarrhea,Losartan
Jaundice,Night Sweats,Azithromycin
Dengue,Red Eyes,Budesonide
Malaria,Rapid Heartbeat,Budesonide
COVID-19,Abdominal Pain,Losartan
Malaria,Itching,Aspirin
Osteoporosis,Swelling,Paracetamol
Jaundice,Itching,Rifampin
Tuberculosis,Dizziness,Aspirin
Jaundice,Numbness,Hydrocortisone
Acne,Rapid Heartbeat,Budesonide
Asthma,Dizziness,Metformin
Asthma,High Blood Pressure,Topiramate
Eczema,Abdominal Pain,Loratadine
Malaria,Night Sweats,Topiramate
Dengue,Vomiting,Ondansetron
Multiple Sclerosis,Sore Throat,Glibenclamide
Sinusitis,Red Eyes,Terbinafine
Malaria,Shortness of breath,Metformin
Epilepsy,High Blood Pressure,Paracetamol
Hypertension,Nausea,Sumatriptan
Gastroenteritis,Itching,Isoniazid
Vertigo,Fatigue,Adalimumab
Diabetes,Swollen Lymph Nodes,Chloroquine
COVID-19,Cough,Losartan
Gastroenteritis,Red Eyes,Amoxicillin
Jaundice,Vomiting,Amoxicillin
Bronchitis,Shortness of breath,Losartan
Allergy,Dizziness,Propranolol
Chickenpox,Blurred Vision,Hydrocortisone
Pneumonia,Diarrhea,Sildenafil
Arthritis,Shortness of breath,Ranitidine
Jaundice,Swollen Lymph Nodes,Losartan
Asthma,High Blood Pressure,Losartan
Chronic Kidney Disease,Tremors,Prednisone
Urinary Tract Infection,Itching,Omeprazole
Pneumonia,Weight Loss,Levothyroxine
Common Cold,Back Pain,Loratadine
Hypertension,Runny Nose,Doxycycline
Acne,High Blood Pressure,Levothyroxine
Ulcerative Colitis,Shortness of breath,Ranitidine
Allergy,Red Eyes,Prednisone
Urinary Tract Infection,Itching,Azithromycin
Common Cold,Chest Pain,Azithromycin
Eczema,Headache,Amoxicillin
Gastroenteritis,Sore Throat,Loratadine
Allergy,Swelling,Loratadine
Peptic Ulcer,Numbness,Isoniazid
Asthma,Swelling,Calamine Lotion
Influenza,Blurred Vision,Rifampin
Whooping Cough,Cough,Metformin
Sinusitis,Swollen Lymph Nodes,Loperamide
Urinary Tract Infection,Abdominal Pain,Topiramate
Hypertension,Sore Throat,Loperamide
Acne,Joint Pain,Ibuprofen
Gastroenteritis,Shortness of breath,Loratadine
Acne,Swelling,Ciprofloxacin
Common Cold,Red Eyes,Adalimumab
Zika Virus,Muscle Weakness,Propranolol
Migraine,Headache,Loperamide
Diabetes,Headache,Paracetamol
Influenza,Sore Throat,Glibenclamide
Migraine,Rapid Heartbeat,Glibenclamide
Asthma,Headache,Levothyroxine
Dengue,Nausea,Amoxicillin
Tuberculosis,Muscle Weakness,Loperamide
Hepatitis,Sore Throat,Sumatriptan
Urinary Tract Infection,Swelling,Ranitidine
Arthritis,Swollen Lymph Nodes,Glibenclamide
Ulcerative Colitis,Back Pain,Propranolol
Jaundice,Numbness,Prednisone
Hypertension,Sore Throat,Azithromycin
Urinary Tract Infection,Diarrhea,Losartan
Typhoid,Fever,Calamine Lotion
Tuberculosis,Night Sweats,Ondansetron
Eczema,Loss of Appetite,Ibuprofen
Common Cold,Swollen Lymph Nodes,Propranolol
Lung Cancer,Tremors,Azithromycin
Typhoid,Chest Pain,Rifampin
Typhoid,Muscle Weakness,Loratadine
Multiple Sclerosis,Diarrhea,Glibenclamide
Glaucoma,Skin Rash,Isoniazid
Dengue,Weight Loss,Isoniazid
Acne,Numbness,Budesonide
Urinary Tract Infection,Numbness,Doxycycline
Jaundice,Loss of Appetite,Terbinafine
Bronchitis,Headache,Paracetamol
Acne,Weight Loss,Topiramate
Hepatitis,Chest Pain,Propranolol
Allergy,Chest Pain,Calamine Lotion
Dengue,Fatigue,Terbinafine
Ulcerative Colitis,High Blood Pressure,Propranolol
Eczema,Joint Pain,Sildenafil
Epilepsy,Night Sweats,Losartan
Epilepsy,Fever,Ciprofloxacin
Hepatitis,Ear Pain,Azithromycin
Hepatitis,Runny Nose,Ibuprofen
Zika Virus,Vomiting,Topiramate
Whooping Cough,Swelling,Cetirizine
Epilepsy,Abdominal Pain,Propranolol
Hypertension,Rapid Heartbeat,Metformin
Jaundice,Cough,Glibenclamide
Osteoporosis,Itching,Sumatriptan
Eczema,Skin Rash,Ranitidine
Chronic Kidney Disease,Numbness,Paracetamol
Chickenpox,Blurred Vision,Loperamide
Chickenpox,High Blood Pressure,Budesonide
Zika Virus,Night Sweats,Rifampin
Peptic Ulcer,Swollen Lymph Nodes,Azithromycin
Fungal Infection,Red Eyes,Ranitidine
Acne,Nausea,Terbinafine
COVID-19,Weight Loss,Aspirin
Tuberculosis,Blurred Vision,Ranitidine
Malaria,Swelling,Sumatriptan
Sinusitis,Headache,Sildenafil
Peptic Ulcer,Loss of Appetite,Adalimumab
Vertigo,Sore Throat,Levothyroxine
Bronchitis,Blurred Vision,Ranitidine
Diabetes,Swelling,Budesonide
Gastroenteritis,Fatigue,Loratadine
Asthma,Fatigue,Ondansetron
Jaundice,Swollen Lymph Nodes,Doxycycline
Heart Disease,High Blood Pressure,Chloroquine
Urinary Tract Infection,Swelling,Amoxicillin
Typhoid,Cough,Budesonide
Arthritis,Muscle Weakness,Calamine Lotion
Migraine,Blurred Vision,Paracetamol
Allergy,Nausea,Losartan
Epilepsy,Rapid Heartbeat,Losartan
Malaria,Blurred Vision,Paracetamol
Peptic Ulcer,Sore Throat,Loperamide
Migraine,Headache,Ondansetron
Influenza,Back Pain,Metformin
Dengue,Red Eyes,Calamine Lotion
Migraine,Headache,Sumatriptan
Eczema,Diarrhea,Adalimumab
Migraine,Itching,Ondansetron
Tuberculosis,Swelling,Hydrocortisone
Sinusitis,Fever,Topiramate
Zika Virus,High Blood Pressure,Budesonide
Lung Cancer,Cough,Sumatriptan
Acne,Fatigue,Rifampin
Glaucoma,Vomiting,Sumatriptan
Jaundice,Shortness of breath,Isoniazid
Migraine,Shortness of breath,Terbinafine
Urinary Tract Infection,Joint Pain,Ciprofloxacin
Common Cold,Sore Throat,Rifampin
Migraine,Muscle Weakness,Loratadine
Urinary Tract Infection,Rapid Heartbeat,Calamine Lotion
Eczema,Red Eyes,Terbinafine
Glaucoma,Loss of Appetite,Amoxicillin
Zika Virus,Cough,Losartan
Ulcerative Colitis,Abdominal Pain,Terbinafine
Hepatitis,Sore Throat,Omeprazole
Migraine,Fatigue,Adalimumab
Bronchitis,Nausea,Rifampin
Chickenpox,Red Eyes,Adalimumab
Dengue,Abdominal Pain,Azithromycin
Psoriasis,Abdominal Pain,Doxycycline
Chickenpox,Fever,Doxycycline
Malaria,Swelling,Rifampin
Typhoid,Back Pain,Ibuprofen
Sinusitis,Night Sweats,Loratadine
Allergy,Fever,Omeprazole
Fungal Infection,Swollen Lymph Nodes,Ibuprofen
Jaundice,Blurred Vision,Adalimumab
Hypertension,Fever,Isoniazid
Diabetes,Rapid Heartbeat,Sildenafil
Glaucoma,Diarrhea,Hydrocortisone
Common Cold,Vomiting,Terbinafine
Glaucoma,Sore Throat,Paracetamol
Whooping Cough,Fatigue,Chloroquine
Asthma,Rapid Heartbeat,Sildenafil
Osteoporosis,Swelling,Isoniazid
Common Cold,Back Pain,Omeprazole
Hepatitis,Shortness of breath,Sumatriptan
Sinusitis,Vomiting,Isoniazid
COVID-19,Joint Pain,Losartan
Vertigo,Cough,Loperamide
Multiple Sclerosis,Runny Nose,Hydrocortisone
Pneumonia,Night Sweats,Sildenafil
Tuberculosis,Nausea,Ibuprofen
Multiple Sclerosis,Tremors,Prednisone
Hepatitis,Muscle Weakness,Levothyroxine
Chickenpox,Fever,Calamine Lotion
Heart Disease,Diarrhea,Doxycycline
Asthma,High Blood Pressure,Sumatriptan
Bronchitis,Weight Loss,Ranitidine
Tuberculosis,Chest Pain,Prednisone
Gastroenteritis,Cough,Paracetamol
Jaundice,Chest Pain,Topiramate
Chronic Kidney Disease,Night Sweats,Prednisone
Migraine,Abdominal Pain,Terbinafine
Chickenpox,Runny Nose,Omeprazole
Migraine,Itching,Budesonide
Eczema,Skin Rash,Isoniazid
Epilepsy,Shortness of breath,Levothyroxine
Migraine,Dizziness,Propranolol
Chickenpox,Nausea,Loperamide
Bronchitis,Abdominal Pain,Sildenafil
Typhoid,Swelling,Cetirizine
Influenza,Runny Nose,Sildenafil
Multiple Sclerosis,Nausea,Levothyroxine
Diabetes,Rapid Heartbeat,Chloroquine
Vertigo,Fatigue,Paracetamol
Ulcerative Colitis,High Blood Pressure,Ciprofloxacin
Diabetes,Numbness,Doxycycline
Ulcerative Colitis,Shortness of breath,Doxycycline
Malaria,High Blood Pressure,Sildenafil
Diabetes,Joint Pain,Cetirizine
Peptic Ulcer,Shortness of breath,Glibenclamide
Lung Cancer,Ear Pain,Sumatriptan
Diabetes,Nausea,Prednisone
Asthma,Tremors,Metformin
Influenza,Muscle Weakness,Losartan
Dengue,Nausea,Levothyroxine
COVID-19,Blurred Vision,Adalimumab
Chickenpox,Loss of Appetite,Amoxicillin
Dengue,Dizziness,Amoxicillin
Whooping Cough,Muscle Weakness,Hydrocortisone
Common Cold,Runny Nose,Ibuprofen
Tuberculosis,Joint Pain,Prednisone
Urinary Tract Infection,Weight Loss,Levothyroxine
Jaundice,Cough,Loperamide
COVID-19,Vomiting,Calamine Lotion
Eczema,Vomiting,Losartan
Ulcerative Colitis,Fatigue,Losartan
Asthma,Dizziness,Omeprazole
Gastroenteritis,Tremors,Aspirin
Migraine,Fatigue,Metformin
Diabetes,Tremors,Propranolol
Whooping Cough,Runny Nose,Doxycycline
